,label,diff,s1_pad,s2_pad,s1,s2
5000,2.6,0.1,42,43,[CLS] 오 너무 소중한 이모지!! [SEP]                                          ,[CLS] 오 너무 필요했던 이모지.. [SEP]                                           
7648,0.2,0.1,30,27,[CLS] 49인치 끝판왕 맞습니다. [SEP]                              ,[CLS] 원하시는 것이 32인치 듀얼이라면.. 음.. [SEP]                           
2543,4.0,0.1,2,0,"[CLS] 세종 집값 잡는 방법... 정부청사 서울로 환원하거나 인천이나 원주나 속초나 태백으로 이전, 대통령기록관 인천이나 원주로 이전, 해양경찰청 강릉으로 이전 [SEP]  ","[CLS] 세종시 집값 구하는 법.. 청사를 서울로 반환하거나 인천, 원주, 속초, 태백으로 이전, 대통령기록관을 인천이나 원주로 이전, 강릉으로, 해양경찰청으로 이전 [SEP]"
3370,0.0,0.1,41,24,[CLS] 아흑 ~ 용팔이 ㅋㅋ [SEP]                                         ,[CLS] 으앙 ~ 아침마다어쩔수없이보는데ㅠㅠ [SEP]                        
406,2.0,0.1,40,36,[CLS] 김관용 도지사 2번째 거짓말 [SEP]                                        ,[CLS] 김관용 도지사 3번째 거짓말 꼭 보세요 [SEP]                                    
5642,2.4,0.1,28,27,[CLS] 누가 자기재산에 이자를 내면서 갚아갑니까? [SEP]                            ,[CLS] 누가 재산에 대한 이자를 지불합니까? [SEP]                           
7007,0.4,0.1,23,21,[CLS] 개인신용등급 폐지해주세요 [SEP]                       ,[CLS] 실용성 없는 청원사이트 폐지해주세요. [SEP]                     
2092,0.0,0.1,72,67,[CLS] ㅋㅋ서로 냉장고 이야기를 너무 열심히 한 것 같아요 ㅋㅋ [SEP]                                                                        ,[CLS] 이름이 너무너무 아파를 귀엽게 말하는것 같네요 ㅋㅋㅋ [SEP]                                                                   
3382,0.0,0.1,33,27,[CLS] 받아도 이태임이 받아야하는거아님? ㅋㅋ [SEP]                                 ,[CLS] 성괴전쟁아님???? [SEP]                           
6340,0.0,0.1,43,38,[CLS] 우리엄마특별출연했어요 [SEP]                                           ,[CLS] 애들두 별루 재미없어했어요 [SEP]                                      
1804,0.8,0.1,33,32,[CLS] 그럭저럭 사자가 왜이렇게 늦게나오느냐 [SEP]                                 ,[CLS] 요새 영화들 왠만하면 다 그럭저럭 중간은 하던데. [SEP]                                
1438,0.0,0.1,40,32,[CLS] 밧슈넘 [UNK] ~ ( 카와이 ) [SEP]                                        ,[CLS] 보면 볼수록 더욱 재미나서 푹 ~ 빠졌어여 ^ ^ [SEP]                                
2667,0.8,0.1,37,33,[CLS] 민주당 개헌안 반대 [SEP]                                     ,[CLS] 정부 개헌안 분석 ( 개선안 ) [SEP]                                 
8127,0.0,0.1,29,18,[CLS] 12등! 좋은 논의 많이 된 것 같아서 좋습니당. [SEP]                             ,"[CLS] 1시간짜리 정기권이 너무 짧은 것 같아서, 이번에 2시간짜리로 바꿨습니당 ㅋㅋㅋ ㅎ [SEP]                  "
5865,0.4,0.1,24,17,[CLS] 클라이밍에 이어 주짓떼루 함께 하실분들 모여모여라!! [SEP]                        ,[CLS] p. s : 모닝 루틴으로 한강 / 양재천 조깅하실분들 모여모여라! [SEP]                 
9167,2.6,0.1,46,44,[CLS] 커뮤니케이션 스터디 응원합니다 [SEP]                                              ,[CLS] 커뮤니케이션 스터디 지원 [SEP]                                            
1728,2.8,0.1,42,31,[CLS] 억지 스토리에 배우들 연기도 어색.. [SEP]                                          ,"[CLS] 배우들의 연기도 어색하기 그지없고, 제목만 재밌네.. ㅠㅠ [SEP]                               "
4078,4.2,0.1,31,21,[CLS] ( 저희와 함께 다음 라운딩 가실 분들 적극 모집 중입니다..! [SEP]                               ,[CLS] ( 다음 라운드에 함께 하실 분들을 적극적으로 모집하고 있습니다..! [SEP]                     
2271,0.0,0.1,28,20,[CLS] 스윙스의 의가사 제대와 랩과외로 인한 수익활동!? [SEP]                            ,"[CLS] 모든 백신 ( 예방주사 ) 의 성분분석 및 부작용 사례 전수조사, [SEP]                    "
8867,0.0,0.1,32,26,[CLS] 일등이 얼마 안 남았습니다 ~ ~ [SEP]                                ,[CLS] 또 시간 가져보시죠 ~ ~ [SEP]                          
8192,3.6,0.1,33,28,[CLS] 거래소 폐지를 금해주세요 [SEP]                                 ,[CLS] 가상화폐 거래소 폐지를 반대합니다 [SEP]                            
8291,3.5,0.1,31,26,[CLS] 개발지역에 섬처럼 남아있는집 [SEP]                               ,[CLS] 개발된 지역에 섬처럼 남아있는 집 [SEP]                          
6576,4.0,0.1,35,31,[CLS] ( 다음에는 김포에서...? ㅋㅋㅋ ) [SEP]                                   ,[CLS] ( 다음에 김포...? ㅋㅋ ) [SEP]                               
5215,1.8,0.1,35,27,[CLS] 상현 오피스에서 보면 밥 먹어요 [SEP]                                   ,[CLS] 상현 오피스에서 [UNK] 수 있으면 좋겠어요! [SEP]                           
8954,1.2,0.1,38,26,[CLS] 강렬한곡 릴레이 추천 [SEP]                                      ,[CLS] 노래 한곡씩 뽑아주세요! [SEP]                          
9120,0.8,0.1,39,33,[CLS] 근데 가는길 날씨가 계속 이렇더라고요 [SEP]                                       ,[CLS] 오늘 날씨가 좋아서 밤에 별이 너무 잘보였어요 [SEP]                                 
3429,4.4,0.1,39,29,[CLS] 말로 표현할 수 없는 재미 [SEP]                                       ,[CLS] 형언할 수 없는 재미 [SEP]                             
3492,3.0,0.1,33,33,[CLS] 이명박 전 대통령 바레인 출국 금지 [SEP]                                 ,[CLS] 이명박 전 대통령 출국금지 요청합니다. [SEP]                                 
7600,4.0,0.1,33,37,[CLS] 부디 경제를 살려주세요. [SEP]                                 ,[CLS] 경제를 살려주세요. [SEP]                                     
1620,0.0,0.1,36,33,[CLS] 한마디로'지렁이도 밟으면 꿈틀거린다 '. [SEP]                                    ,[CLS] 잔잔함속에 커다란 삶의 꿈틀거림이느껴진다 [SEP]                                 
1031,1.0,0.1,50,37,[CLS] 약대 입학정원을 5천명으로 [SEP]                                                  ,[CLS] 일본은 약대 입학정원이 1만 3천명 입니다. [SEP]                                     
6749,1.2,0.1,39,38,[CLS] 로또복권 세금이 너무 많아요 [SEP]                                       ,[CLS] 로또복권. 연금복권의 개혁 청원 [SEP]                                      
744,3.6,0.1,38,34,[CLS] 워마드 사이트 폐지 [SEP]                                      ,[CLS] 워마드사이트를 폐지해주세요 [SEP]                                  
1970,0.8,0.1,36,25,[CLS] 오 봄에 제주 가시죠 ㅎㅎㅎ [SEP]                                    ,[CLS] 오 대박 ㅋㅋ 제주 출강 나오시면 좋겠네요 ㅋㅋ [SEP]                         
8324,3.2,0.1,34,31,[CLS] 간만에 웃으며 잼있게 잘봤음. [SEP]                                  ,[CLS] 정말 재미있게 잘 봤음 [SEP]                               
1288,4.0,0.1,35,30,[CLS] 가상화폐거래소를 폐지하여야 합니다 [SEP]                                   ,[CLS] 가상화폐 거래소를 당장 폐지해야 합니다. [SEP]                              
8419,1.8,0.1,38,32,[CLS] 내인생 최고의 판타지 [SEP]                                      ,[CLS] 내 인생 최고의 애니 [SEP]                                
758,2.0,0.1,28,29,[CLS] 보는내내 암걸릴꺼같다진짜.. [SEP]                            ,[CLS] 보는내내 눈살찌푸리게 하드라... [SEP]                             
5621,2.8,0.1,41,30,[CLS] 김보름 국가대표 자격 박탈 요청 [SEP]                                         ,"[CLS] 김보름, 장수지, 박지우 국가대표 박탈시켜주세요. [SEP]                              "
5200,0.0,0.1,36,27,[CLS] 애들은 용에 환장할 듯 [SEP]                                    ,[CLS] 아무도 애에 대해 관심을 갖지 않음ㅋ [SEP]                           
4264,3.4,0.1,33,60,[CLS] 그치만 그래도 만드느라수고했단의미의점수라생각된다 [SEP]                                 ,[CLS] 하지만 그만큼 노력을 많이 했다는 것을 의미하는 점수라고 생각합니다. [SEP]                                                            
1114,2.6,0.1,50,40,[CLS] 이게 장르가 코메디라니. [SEP]                                                  ,[CLS] 장르가 코미디라 봤는데. 아니네요. [SEP]                                        
5615,1.8,0.1,33,38,[CLS] 이런 작품은 코믹으로 보아야지 진지하게 보았다가는 [SEP]                                 ,[CLS] 그나마의 감동도 코믹으로 사라짐 [SEP]                                      
7126,4.0,0.1,31,32,[CLS] 내 생애 이렇게 불쌍한 주인공은 처음 봤다. [SEP]                               ,[CLS] 나는 내 인생에서 그렇게 불쌍한 히로인을 본 적이 없습니다. [SEP]                                
3624,0.0,0.1,42,40,[CLS] 가드닝 채널에 일단 초대를 드렸습니다 ㅋㅋㅋ [SEP]                                          ,[CLS] 저는 June을 추천해드렸습니다 [SEP]                                        
5829,0.0,0.1,33,25,[CLS] 오늘의 저녁은 흑돼지와 함께합니다! [SEP]                                 ,"[CLS] [UNK], 오늘의 반가움은 맛난 커피로 이어갈게요. [SEP]                         "
2537,0.0,0.1,28,34,[CLS] 아주아주아아주아주아주아주아주 [SEP]                            ,[CLS] 미쓰김 ~ 돌아와주요 ~ ㅜㅜ [SEP]                                  
2578,4.2,0.1,15,18,[CLS] 의상 덕분에 눈도 즐거웠고 시대적 배경인 남북전쟁에 대해서도 잘 표현해준 것 같아요. [SEP]               ,[CLS] 의상 덕분에 눈이 즐거웠고 남북전쟁의 역사적 배경을 잘 표현한 것 같아요. [SEP]                  
1006,3.6,0.1,25,39,[CLS] 그냥 차라리 한편의 단막극으로 만들었다면 그편이나았을듯 ; ; [SEP]                         ,[CLS] 그냥 단막극으로 만들었더라면 더 좋았을 텐데. [SEP]                                       
1676,0.0,0.1,40,17,[CLS] 대주주 양도세가 합리적이지 않다.... [SEP]                                        ,[CLS] 밥 좀먹고 나오자 밥 좀먹고..................... [SEP]                 
7854,4.4,0.1,30,37,[CLS] 페이크다큐로는 포스카인드가 낫다 [SEP]                              ,[CLS] Forskind는 가짜 다큐멘터리로 더 낫습니다. [SEP]                                     
5809,0.0,0.1,30,33,[CLS] 오카다 마사키 때문에 끄지 않고 봤다. [SEP]                              ,[CLS] 하오카땜에 다행이다 [SEP]                                 
2541,3.0,0.1,36,36,[CLS] 사형제도 폐지 반대 [SEP]                                    ,[CLS] 사형제 폐지반대 청원 합니다 [SEP]                                    
3106,0.2,0.1,31,31,[CLS] 영화에 내용을 읽을줄 알아야지이런 결말이겠지? [SEP]                               ,[CLS] 이정도면 목적에 잘 맞는 영화아닌가? [SEP]                               
8341,0.0,0.1,27,25,[CLS] 그리고 노력하셨지만 사진 비율은 어쩔수 없었네요.. ㅋㅋ [SEP]                           ,[CLS] ㅋㅋ 커피는 성공적으로 먹었습니다... [SEP]                         
7264,0.0,0.1,28,29,[CLS] 자르고 알았습니다. [SEP]                            ,[CLS] 생각도 들었습니다. [SEP]                             
2223,5.0,0.1,41,32,[CLS] 수능연기 반대합니다 [SEP]                                         ,[CLS] 수능 연기 반대합니다 [SEP]                                
7462,0.0,0.1,45,40,[CLS] 진정한 원작무시 영화화 [SEP]                                             ,[CLS] 과소평가받은 진정한 숨은 명작 ㄷㄷ [SEP]                                        
2670,0.0,0.1,34,31,[CLS] 노인복지정책에대하여 [SEP]                                  ,[CLS] 서울아파트급등에대하여 [SEP]                               
4439,4.0,0.1,42,42,[CLS] 와 ~ 이쁜 꽃이 기대 됩니다. [SEP]                                          ,[CLS] 와 ~ 아름다운 꽃을 기대합니다. [SEP]                                          
2250,0.0,0.1,40,26,[CLS] 은행나무 관리좀 해주세요 [SEP]                                        ,[CLS] 불법체류자 단속좀 해주세요. [SEP]                          
6949,0.0,0.1,26,26,[CLS] 아바다케다브라 ㅋㅋ [SEP]                          ,[CLS] ㅋㅋ 아 진짜 웃기네여 ㅋㅋㅋ [SEP]                          
3902,1.8,0.1,36,30,[CLS] 우리 회사 여러분 앞으로 잘 부탁드립니다! [SEP]                                    ,[CLS] 안녕하세요 우리 회사 여러분 ~! [SEP]                              
8506,3.0,0.1,35,31,[CLS] 꼭고치고싶은 [UNK] [SEP]                                   ,[CLS] 식습관을 바꾸고 싶어요. [SEP]                               
8695,0.4,0.1,42,34,[CLS] 상현에 아직 두 봉 남았어요 ㅎㅎㅎ [SEP]                                          ,[CLS] 얘기에 집중하다보니 첫 음식 두 개 사진만 남았네요 ~ [SEP]                                  
4721,2.8,0.1,35,34,[CLS] 친일재산환수법 제정청원 [SEP]                                   ,[CLS] 김성수 친일 재산 조사 및 환수 조치 청원 [SEP]                                  
3550,1.0,0.1,32,27,[CLS] 정말 좋은 스토리인 것 같다 [SEP]                                ,[CLS] 스토리가 영화에 크게 중요하지 않은 것 같다. [SEP]                           
339,4.0,0.1,26,28,[CLS] 숟가락도 들고오실 필요없이 몸만 오심 됨다ㅋ. ㅋ!! [SEP]                          ,[CLS] 숟가락도 필요없고 몸만 가져오시면 됩니다. [SEP]                            
2455,2.8,0.1,33,32,[CLS] 가장재미없고무가치. [SEP]                                 ,[CLS] 재미없어재미없다고재미없어 [SEP]                                
7983,1.2,0.1,33,26,[CLS] 노인 장기요양보험 보장성확대를 부탁드립니다. [SEP]                                 ,[CLS] 치매 장기요양등급 복지용구에 기저귀 품목을 포함시켜주세요. [SEP]                          
4765,2.4,0.1,36,22,[CLS] 재미있고 다른 느낌이라 더욱 좋았던것 같습니다 [SEP]                                    ,[CLS] 실제로 있을 것 같은 내용이라 더 재미잇는 것 같아요.... [SEP]                      
5919,0.0,0.1,27,27,[CLS] 오늘 정신이 없어서 기억이 좀 가물가물 하네요. [SEP]                           ,[CLS] 오늘 만나뵈어서 반가웠습니다. [SEP]                           
3819,0.0,0.1,38,29,[CLS] 서프라이즈 보는 것 같았음 [SEP]                                      ,[CLS] 재밌는데 교과서 보는 느낌? 같았음 [SEP]                             
4327,0.0,0.1,45,69,[CLS] 메뉴 완벽이네요.. [SEP]                                             ,[CLS] 그러게요 특이하네요.. [SEP]                                                                     
2905,0.0,0.1,26,20,[CLS] 우와 진짜멋져요... 마테호른 바라보며 스키라니... ㅠㅠ [SEP]                          ,[CLS] 야호... 호야호야 귀가 [UNK] [UNK] [SEP]                    
7666,4.2,0.1,12,14,"[CLS] 다음, 네이버, 유튜브 상의 일부 개인 사용자의 범법행위를 해당 사이트에서 강력히 사후제재하도록 할 것을 청원합니다. [SEP]            ",[CLS] 다음으로 네이버와 유튜브에서 일부 개인 사용자들의 범죄 행위에 대해 강력한 사후 제재를 가해 줄 것을 사이트에 청원합니다. [SEP]              
6348,1.2,0.1,34,28,[CLS] 구독자가 천명이 넘는다니... 대단하십니다!! [SEP]                                  ,[CLS] 구독자 증가를 예상했으나 처음으로 구독자수가 감소했다고... [SEP]                            
2793,3.2,0.1,40,42,[CLS] 또 얘기 많이 나누어요 ~ ~ [SEP]                                        ,[CLS] 다음에 또 재미난 이야기 나눠봐요 ~ ~ [SEP]                                          
9172,3.4,0.1,20,19,[CLS] 보수집단이라는 이유로 나라 망신을 시키는 엄마부대에 대한 철저한 조사와 대표 주옥순의처벌을 원합니다. [SEP]                    ,[CLS] 보수단체라는 이유로 나라를 욕되게 하는 모반과 주옥순 대표의 처벌에 대해 철저히 조사하고 싶다. [SEP]                   
7419,0.0,0.1,32,24,[CLS] 퇴근하고 자기전에보기 무겁지도않고 좋은프로 ~ [SEP]                                ,[CLS] 난 몇번을 봐도 너무너무 행복하고 즐겁고 눈시울 적시는영화 ~ [SEP]                        
8,0.2,0.1,32,31,[CLS] 공기관여성점수제폐지를청원합니다 [SEP]                                ,[CLS] 수업시수 제도 폐지를 청원합니다. [SEP]                               
7123,0.0,0.1,31,39,[CLS] 주식시장 활성화 계획은 말뿐입니까? [SEP]                               ,[CLS] 공익사업 개발은 무엇을 위한것입니까? [SEP]                                       
2110,2.0,0.1,80,74,[CLS] 출소 말도 안됩니다 [SEP]                                                                                ,[CLS] 조두순 출소 절대안됩니다 [SEP]                                                                          
4752,4.2,0.1,29,22,[CLS] 국회의원 정족수를 100명정도로 줄이고 유럽처럼 무보수 봉사직으로 바꿔야 합니다. [SEP]                             ,[CLS] 국회의원 정족수를 100명 내외로 줄이고 유럽처럼 무급 자원봉사자로 바꿔야 한다. [SEP]                      
8599,0.8,0.1,35,40,[CLS] 반전영화인걸 알면서 봤는데 이렇게 뒷통수를 칠줄이야 ㅎㅎ [SEP]                                   ,[CLS] 중학교때 반전이란걸 알게해준 영화 [SEP]                                        
2553,3.6,0.1,3,9,"[CLS] 소중한 문대통령님! 이명박 / 박근혜정부 국고연구100조원지원, 관련 비자금 들통나자 / 신고자를 고소한 무고죄 사건 ( 형제57639 증빙 ) [SEP]   ","[CLS] 소중한 문 대통령! 이명박 · 박근혜 정부, 정부 연구비 100조원 지원, 관련 비자금 폭로 / 기자 무죄 소송 제기 ( 형님 증거 57639 ) [SEP]         "
7726,0.0,0.1,27,46,[CLS] 원숭이를 믿어도 될까?... [SEP]                           ,[CLS] 제가 형님을 얼마나 좋아하는데... [SEP]                                              
5649,3.0,0.1,32,29,[CLS] 공들여 만든 것은 알겠는데.. [SEP]                                ,[CLS] 열심히 만들었긴한데.. [SEP]                             
5736,1.2,0.1,36,28,[CLS] 대통령은 정신차려야한다 [SEP]                                    ,[CLS] 문대통령 서울집값 정신차려야한다 [SEP]                            
6770,3.6,0.1,37,37,[CLS] 이런감동으로울어보기도 첨이네 [SEP]                                     ,[CLS] 이런 감정에 울어본 적은 처음이다. [SEP]                                     
4352,1.4,0.1,33,33,[CLS] 볼까말까 망설이는 사람들은 그냥 다른 좋은 영화들 보시오. [SEP]                                 ,[CLS] 볼까? 하시는 분들은 그냥 만화책 보시는걸 추천 스토리 전개가 다름 [SEP]                                 
3381,3.2,0.1,39,28,[CLS] 아 팔은 확실히 더 아프더라구요 [SEP]                                       ,"[CLS] 아, 확실히 팔이 아파요. [SEP]                            "
5206,4.2,0.1,37,32,[CLS] 바닥이 안보여요.. [SEP]                                     ,[CLS] 바닥이 안 보이네요. [SEP]                                
7899,0.0,0.1,32,41,[CLS] 덕분에 화욜 보람차게 시작합니당 [SEP]                                ,[CLS] 운봉열차 11인으로 마감합니당 [SEP]                                         
7594,0.0,0.1,16,9,[CLS] 안타깝지만지금이시대를살아가는우리들에게필요한것은사드같은신념 [SEP]                ,[CLS] 세상에살아숨쉬는모든인격체들이라면이가슴미어지는만고불변의진실을반드시접하기를.. [SEP]         
3677,3.0,0.1,47,47,[CLS] 완전 재미있어요 추천추천 [SEP]                                               ,[CLS] 나름 재미있어요 ㅎㅎ [SEP]                                               
1401,0.6,0.1,27,15,[CLS] ㅇㅇ < PERSON > 님이 열어주셔야 하는듯! [SEP]                           ,[CLS] < PERSON > 님 ~! 이 부분 앞으로 < PERSON > 님께서 도움주실 예정입니다 [SEP]               
4766,0.0,0.1,36,31,[CLS] ㅎㅎ [UNK] 반성하고 산책해보겠습니드아 ~! [SEP]                                    ,[CLS] I 도 파티보이할수있드아 ~ ~! [SEP]                               
6363,2.2,0.1,43,37,[CLS] 러닝 타임 진짜쩌네요 ㅋ [SEP]                                           ,[CLS] 정말 쩌네 아주 쩔어.. ; ; [SEP]                                     
3950,4.0,0.1,39,31,[CLS] 국민연금의무폐지하라 [SEP]                                       ,[CLS] 국민연금 폐지하라!!! [SEP]                               
6750,1.0,0.1,30,41,[CLS] 요즘 킨들 초기 버전을 발굴해내서 사용하는데 매우 좋네요! [SEP]                              ,[CLS] 킨들 버전 읽어봅니다. [SEP]                                         
316,2.6,0.1,34,26,[CLS] 성매매 합법화또는 비범죄화 논의합시다 [SEP]                                  ,[CLS] 성매매특별법을 폐지하고 유럽처럼 합법화시켜주십시오. [SEP]                          
4354,3.2,0.1,45,42,[CLS] 문재인 대통령님 응원합니다 [SEP]                                             ,[CLS] 문재인 대통령님 존경합니다! 응원합니다 [SEP]                                          
4378,0.0,0.1,35,31,[CLS] 2월에는 좀더 업그레이드 된 모습으로 찾아뵙겠습니다. [SEP]                                   ,[CLS] 3 / 5일 온다고 하니 그때부터 더 밝은 표정 보여 드리겠습니다. [SEP]                               
5063,0.0,0.1,33,37,[CLS] 저도 여러번 찍어오거나 받아왔는데 말이죠... [SEP]                                 ,[CLS] 저는 오토보이로 근근히 찍고 있는데... [SEP]                                     
4,0.0,0.1,28,32,[CLS] 그들은 즐겁게 춤을 추는데 난 왜 흥겹지 않을까? [SEP]                            ,[CLS] 이영화는 도대체 모지?? [SEP]                                
7519,0.4,0.1,43,40,[CLS] 질문 결국 짤렸네요 ㅎㅎ [SEP]                                           ,[CLS] 이해가 되는 질문들이네요 ㅎㅎ [SEP]                                        
7761,0.0,0.1,29,50,[CLS] 싼건 아니네요 ㅎ ; [SEP]                             ,[CLS] 너무 귀엽네요 ; ㅁ ; [SEP]                                                  
7608,2.2,0.1,32,30,[CLS] 로또 당첨금 과세 폐지를 주장합니다 [SEP]                                ,[CLS] 로또 당첨금에 과세는 서민을 차별하는 정책입니다 [SEP]                              
1655,0.0,0.1,37,35,[CLS] 헉?! 알파벳은 든든합니다. ~! [SEP]                                     ,[CLS] 오.. 메달은 항상 옳습니다.! [SEP]                                   
8206,3.2,0.1,31,27,[CLS] 도대체 얼마 사형제도 부활됩니까? [SEP]                               ,[CLS] 대한민국 사형 제도 부활해주세요!! [SEP]                           
8499,1.2,0.1,36,32,[CLS] 제이슨리는 대단한 배우 [SEP]                                    ,[CLS] 제이슨 [UNK] 너무 좋당! [SEP]                                
9267,0.0,0.1,32,36,[CLS] 국민연금해지 ( 선택제 ) [SEP]                                ,[CLS] 국회의원 선출방식 변경 ( 양원제 ) [SEP]                                    
1133,0.0,0.1,23,41,[CLS] 우리 회사를 선택한 이유로 캐글할 수 있는 회사! 그리고 우리 회사에서 다양한 데이터를 만져볼 수 있을 것 같다는 것이었다고 합니다. [SEP]                       ,[CLS] 월세 내고 입점 할 수 있다네요. [SEP]                                         
1945,3.0,0.1,32,29,[CLS] 당신이길 바랬어요.... ㅎㅎ [SEP]                                ,[CLS] 너였으면 좋겠다.... 하하 [SEP]                             
2449,0.0,0.1,20,20,[CLS] 이번에도 콜라보레이터로 초대드릴 분들 깃허브 아이디 확인 부탁드리겠습니다. [SEP]                    ,[CLS] 다음에 라이딩 하는 기자님들과 함께 라이딩 모임 만들어서 초대드리겠습니다 [SEP]                    
4159,3.6,0.1,35,38,[CLS] 농촌 신생아를 지켜 주세요 [SEP]                                   ,[CLS] 시골 신생아를 보호 [SEP]                                      
8360,3.6,0.1,36,27,[CLS] 조두순출소 반대청원 [SEP]                                    ,[CLS] 조두순출소반대절대반대합니다 [SEP]                           
2252,0.0,0.1,41,29,[CLS] 이대 폐쇄 시켜주세요 [SEP]                                         ,[CLS] 이명박 출국금지 시켜주세요 [SEP]                             
1829,3.4,0.1,25,26,"[CLS] 숙명여대 경인중 논란과 관련하여, 경인중학교의 조치에 이의를 제기합니다. [SEP]                         ",[CLS] 숙명여자대학교 경인중학교 논란에 대해 경인중학교의 조치에 반대합니다. [SEP]                          
2316,0.8,0.1,29,19,[CLS] 더불어민주당의 광주광역시 서구 갑 재보선 후보선출 전략공천반대 [SEP]                             ,[CLS] 더불어민주당 양산시장 후보에 심경숙 양산시의회 부의장을 전략공천해주세요 [SEP]                   
5097,1.4,0.1,43,42,[CLS] 왜 이제야 봤을까... [SEP]                                           ,[CLS] 왜 봤을까 후회되는 영화... [SEP]                                          
3625,0.0,0.1,40,42,[CLS] 즉 한국 시장으로 치면 만관객이란 말. [SEP]                                        ,[CLS] 한마디로 수술중 사용하면 즉사. [SEP]                                          
7724,1.8,0.1,29,38,[CLS] 영화가 날 어색하게 만든다 [SEP]                             ,[CLS] 배우연기가 어색한영화는 많이봤어도 스토리까지 어색한영화는 처음 [SEP]                                      
9234,1.8,0.11,31,37,[CLS] 처음부터 끝까지 참... [SEP]                               ,[CLS] 아이고... 참... [SEP]                                     
4382,2.8,0.11,44,44,[CLS] 오 …! 엄청난 성장력 [SEP]                                            ,[CLS] 다섯 …! 엄청난 성장 잠재력 [SEP]                                            
6958,4.4,0.11,27,27,[CLS] 지정차로 단속 강화 [SEP]                           ,[CLS] 지정차로제 단속 강화 [SEP]                           
8355,0.6,0.11,30,25,[CLS] 그래도 애들 데리고 꼭 보러 갈 겁니다.. ^ ^ [SEP]                              ,[CLS] 애들이랑 같이 보면 곤란해 집니다. ^ ^ [SEP]                         
7704,3.8,0.11,16,38,[CLS] 강아지와 고양이에 치우치치 않고 굉장히 다양한 동물들이 등장하는 모습..! [SEP]                ,"[CLS] 개, 고양이에게 편향되지 않은 다양한 동물들의 등장..! [SEP]                                      "
3013,1.0,0.11,34,45,"[CLS] 항상 모든 작품은 각자의 입장이 있다는 것을 인지하지만, 정말이지 이해할 수 없는 작 [SEP]                                  ",[CLS] 도저히 이해할 수가 없는 그녀가 배운 교육의 가치. [SEP]                                             
8183,1.0,0.11,28,28,[CLS] 고용보험 및 근로복지공단 관련 문의는 어떤 분에게 드리면 될까요? [SEP]                            ,[CLS] 혹시 스웨트셔츠 관련해서 배송 문의는 어느 분께 연락드리면 될까요? [SEP]                            
6269,0.2,0.11,34,26,[CLS] 부산 영도병원의 실체 [SEP]                                  ,[CLS] 제주도 영리병원 막아주세요!!!!! [SEP]                          
425,0.2,0.11,25,31,[CLS] 캠퍼들과 함께 성장하실 적합한 분이 계시다면 추천 부탁드립니다!!! [SEP]                         ,[CLS] 추천팀 멋진 분들과 점심을 함께 하였습니다! [SEP]                               
8935,0.0,0.11,36,25,[CLS] 대학정원제 실시해주세요 [SEP]                                    ,[CLS] 상. 하원제 도입 부탁드립니다. [SEP]                         
7962,3.6,0.11,36,35,[CLS] 전반적으로 공감가는 내용이 많네요. [SEP]                                    ,[CLS] 정말 동감이 가는 내용이네요. [SEP]                                   
7993,0.8,0.11,34,29,[CLS] 사극은 첨보는건데 재밌네요!! ㅎ [SEP]                                  ,[CLS] 이렇게 재밌는 성룡영화 처음봤다!!!!!!! [SEP]                             
961,2.4,0.11,38,42,[CLS] 배우들 연기만 본듯 [SEP]                                      ,[CLS] 배우들 연기력만 낭비한예인듯... [SEP]                                          
8500,2.4,0.11,32,17,[CLS] 흥미진진함으로 눈을 뗄수 없었다 [SEP]                                ,[CLS] 우연히 보고 눈을 뗄수가 없었다. 뛰어난 방은진의 연기.... [SEP]                 
7897,1.0,0.11,35,44,[CLS] 전편이 훨씬 잼있었다는 [SEP]                                   ,[CLS] 전편보다는 훨 괜찮네 [SEP]                                            
6603,3.6,0.11,39,28,[CLS] IBK국책은행 기업은행 진실! [SEP]                                       ,[CLS] IBK국책은행 기업은행 자회사 진실!!!!! [SEP]                            
6899,2.0,0.11,21,27,[CLS] 저희 팀 다다음주에 저랑도 맛있는거 먹으러 가시죠 … [SEP]                     ,[CLS] 담에 싱가폴 음식 먹으러 가요 ~! ㅋㅋ [SEP]                           
2632,3.6,0.11,27,28,[CLS] 가히 주인공을 보고 있자면 암에 걸릴거 같다 [SEP]                           ,[CLS] 주인공을 보면 암에 걸릴 것 같아요. [SEP]                            
8611,0.8,0.11,39,42,[CLS] 수준은 떨어지지만 인생을 즐기는게 느껴지는 영화 [SEP]                                       ,[CLS] 먹먹함이 느껴지는 영화다 [SEP]                                          
3468,0.0,0.11,27,31,[CLS] 이건 그냥 [UNK] 아닌가.. ; ; ; ; 그래서 점 드립니다 [SEP]                           ,[CLS] : 분 짜리 영화 입니다.. : ; ; ; [SEP]                               
3610,2.0,0.11,30,35,[CLS] 삶에대해다시한번생각해볼수있는좋은시간이었습니다 ~ [SEP]                              ,[CLS] 인간의본질에대해다시한번생각케함! [SEP]                                   
6132,0.0,0.11,34,22,[CLS] 게임물 관리 위원회 일명 게등위에 관한 감사를 신청합니다 [SEP]                                  ,"[CLS] 증권거래소 기업심사위원회 등 수많은 각종 "" 위원회 명단 "" 공개를 원칙으로 하라. [SEP]                      "
2830,2.8,0.11,30,19,[CLS] 외국인근로자 전수조사및 불법체류자 추방 및 전과자 추방 정책 [SEP]                              ,[CLS] 불체자 전수조사 및 추방 ( 예멘인 포함 ) / [SEP]                   
